Directory Name,R0_Ln,R0_Lt,tau_ad,eps_r,q_0,s_hat,Nref,Lref,Tref,time evo. trend,averaged Q,std Q
case00000001,2.22,6.92,1.0,0.18,1.4,-0.44210951,4.5e+19,1.7,2.0,oscillating,22.051952937233303,2.556678944397416
case00000002,2.22,6.92,1.0,0.18,1.4,-0.575513733,4.5e+19,1.7,2.0,oscillating,17.73408789130037,2.7744162095406852
case00000003,2.22,6.92,1.0,0.18,1.4,-0.0323642127,4.5e+19,1.7,2.0,oscillating,46.00481130943889,4.00629480923587
case00000005,2.22,6.92,1.0,0.18,1.4,0.506598949,4.5e+19,1.7,2.0,oscillating,32.31741331295265,5.3672251470244
case00000006,2.22,6.92,1.0,0.18,1.4,-0.170980394,4.5e+19,1.7,2.0,oscillating,25.492991746051832,3.0384515320746974
case00000007,2.22,6.92,1.0,0.18,1.4,0.981845016,4.5e+19,1.7,2.0,oscillating,19.57769755132037,4.351929060069247
case00000009,2.22,6.92,1.0,0.18,1.4,-0.206516249,4.5e+19,1.7,2.0,oscillating,26.692460569858557,3.7798591728277544
case00000010,2.22,6.92,1.0,0.18,1.4,1.39005889,4.5e+19,1.7,2.0,oscillating,6.985213225258228,2.009375568787774
case00000016,2.22,6.92,1.0,0.18,1.4,-0.763354317,4.5e+19,1.7,2.0,oscillating,12.096819587757357,4.899303364794794
case00000018,2.22,6.92,1.0,0.18,1.4,0.366803267,4.5e+19,1.7,2.0,oscillating,32.20141608049206,7.012594945746654
case00000019,2.22,6.92,1.0,0.18,1.4,0.0958450983,4.5e+19,1.7,2.0,oscillating,33.64036266753247,4.3561889142726775
case00000020,2.22,6.92,1.0,0.18,1.4,0.859122353,4.5e+19,1.7,2.0,oscillating,28.51186986979624,5.687399511360872
case00000022,2.22,6.92,1.0,0.18,1.4,0.607792923,4.5e+19,1.7,2.0,oscillating,31.132219652462112,8.072627143018034
case00000023,2.22,6.92,1.0,0.18,1.4,-0.862912797,4.5e+19,1.7,2.0,oscillating,11.383190129526866,7.570634562224327
case00000024,2.22,6.92,1.0,0.18,1.4,1.4846676,4.5e+19,1.7,2.0,oscillating,8.56718471810741,2.23320551618655
case00000025,2.22,6.92,1.0,0.18,1.4,-0.667399164,4.5e+19,1.7,2.0,oscillating,13.370553519360415,2.489193676362445
case00000026,2.22,6.92,1.0,0.18,1.4,1.08858055,4.5e+19,1.7,2.0,oscillating,18.326593369310938,2.9611131696240314
case00000027,2.22,6.92,1.0,0.18,1.4,-0.287068639,4.5e+19,1.7,2.0,oscillating,25.88612682248012,3.2677159266451987
case00000028,2.22,6.92,1.0,0.18,1.4,1.27451952,4.5e+19,1.7,2.0,oscillating,7.091458905627905,1.8814195334392536
case00000029,2.22,6.92,1.0,0.18,1.4,-0.508302056,4.5e+19,1.7,2.0,oscillating,19.51120157014652,2.360619737488138
case00000030,2.22,6.92,1.0,0.18,1.4,0.286123351,4.5e+19,1.7,2.0,oscillating,35.02527542707273,5.103553466539156
case00000031,2.22,6.92,1.0,0.18,1.4,-0.100052097,4.5e+19,1.7,2.0,oscillating,28.500124536830583,2.7849110622892175
case00000032,2.22,6.92,1.0,0.18,1.4,0.0310947255,4.5e+19,1.7,2.0,oscillating,50.20573229853037,2.832133323835919
case00000033,2.22,6.92,1.0,0.18,1.4,0.146928678,4.5e+19,1.7,2.0,oscillating,34.00404723581967,5.412269579761184
case00000034,2.22,6.92,1.0,0.18,1.4,-0.0653907412,4.5e+19,1.7,2.0,oscillating,30.187173647900774,2.5698268416140917
case00000035,2.22,6.92,1.0,0.18,1.4,0.181963963,4.5e+19,1.7,2.0,oscillating,34.78995153006132,6.8432886030768385
case00000036,2.22,6.92,1.0,0.18,1.4,0.0627846179,4.5e+19,1.7,2.0,oscillating,38.437676174670784,4.545400795700838
case00000038,2.22,6.92,1.0,0.18,1.4,0.249090046,4.5e+19,1.7,2.0,oscillating,34.918906598349324,4.133981295901791
