rho,n(10^19m-3),R/Ln,Te(keV),R/LTe,Ti(keV),R/LTi,q_0,s_hat,gamma/ky^2,zfdt,Qe_qslmodel,Qi_qslmodel,Gamma_qslmodel,Qe_nlnr,Qi_nlnr,Gamma_nlnr
0.65,1.523,1.9471,1.168,7.954,1.168,7.954,1.579,-1.1172991178533906,0.18,3.3,8.6,13.0,1.8,5.0,8.6,0.87
0.68,1.505,2.6986,1.118,8.7264,1.118,8.7264,1.4971,-1.2393434237649714,0.62,3.2,15.0,23.0,3.4,17.0,31.0,3.7
0.72,1.47,3.9215,1.047,9.8719,1.047,9.8719,1.3879,-1.4164799613648564,1.0,3.3,29.0,45.0,7.1,32.0,58.0,7.4
0.76,1.423,5.4617,0.972,11.176,0.972,11.176,1.2788,-1.618242344648288,1.6654,3.0,48.0,75.0,13.0,30.0,55.0,8.1
0.8,1.36,7.4397,0.8937,12.655,0.8937,12.655,1.1702,-1.849405258637403,2.2,2.9,64.0,99.0,19.0,60.0,100.0,19.0
