LHD, Rax=3.6m (case3)

rho	q
0.016129	2.7647
0.032258	2.7548
0.048387	2.7211
0.064516	2.6767
0.080645	2.6295
0.096774	2.5820
0.11290	2.5355
0.12903	2.4894
0.14516	2.4438
0.16129	2.3992
0.17742	2.3557
0.19355	2.3132
0.20968	2.2712
0.22581	2.2297
0.24194	2.1896
0.25806	2.1496
0.27419	2.1110
0.29032	2.0725
0.30645	2.0350
0.32258	1.9984
0.33871	1.9619
0.35484	1.9264
0.37097	1.8918
0.38710	1.8574
0.40323	1.8238
0.41935	1.7905
0.43548	1.7581
0.45161	1.7262
0.46774	1.6949
0.48387	1.6642
0.50000	1.6340
0.51613	1.6044
0.53226	1.5753
0.54839	1.5466
0.56452	1.5184
0.58065	1.4908
0.59677	1.4637
0.61290	1.4370
0.62903	1.4108
0.64516	1.3850
0.66129	1.3596
0.67742	1.3348
0.69355	1.3103
0.70968	1.2862
0.72581	1.2625
0.74194	1.2392
0.75806	1.2162
0.77419	1.1937
0.79032	1.1714
0.80645	1.1494
0.82258	1.1278
0.83871	1.1063
0.85484	1.0852
0.87097	1.0643
0.88710	1.0436
0.90323	1.0230
0.91935	1.0027
0.93548	0.98232
0.95161	0.96246
0.96774	0.94162
0.98387	0.92166
1.0000	0.91158
