LHD, Rax=3.75m (case1)

rho	n(10^19m-3)	dn/dr	Ln	R/Ln	Te(keV)	dTe/dr	LTe	R/LTe	Ti(kev)	dTi/dr	LTi	R/LTi
0.47000	1.2447	0.19043	-6.5359	-0.57375	2.9197	-3.7013	0.78884	4.7538	2.8858	-6.2577	0.46116	8.1339
0.48000	1.2459	0.20839	-5.9786	-0.62724	2.8972	-3.8108	0.76027	4.9325	2.8482	-6.3308	0.44990	8.3376
0.49000	1.2472	0.22593	-5.5202	-0.67933	2.8740	-3.9214	0.73290	5.1166	2.8102	-6.4005	0.43906	8.5435
0.50000	1.2486	0.24291	-5.1399	-0.72958	2.8502	-4.0331	0.70668	5.3065	2.7717	-6.4665	0.42863	8.7514
0.51000	1.2501	0.25919	-4.8229	-0.77754	2.8256	-4.1459	0.68154	5.5022	2.7329	-6.5290	0.41858	8.9615
0.52000	1.2517	0.27461	-4.5580	-0.82273	2.8004	-4.2596	0.65743	5.7040	2.6937	-6.5879	0.40889	9.1739
0.53000	1.2533	0.28899	-4.3370	-0.86465	2.7745	-4.3742	0.63428	5.9122	2.6542	-6.6431	0.39954	9.3886
0.54000	1.2551	0.30216	-4.1538	-0.90278	2.7479	-4.4897	0.61205	6.1269	2.6143	-6.6946	0.39051	9.6056
0.55000	1.2569	0.31393	-4.0039	-0.93658	2.7206	-4.6058	0.59069	6.3485	2.5742	-6.7424	0.38179	9.8250
0.56000	1.2589	0.32411	-3.8841	-0.96547	2.6926	-4.7226	0.57016	6.5771	2.5337	-6.7864	0.37336	10.047
0.57000	1.2608	0.33249	-3.7921	-0.98891	2.6640	-4.8399	0.55041	6.8131	2.4931	-6.8266	0.36520	10.271
0.58000	1.2628	0.33886	-3.7267	-1.0063	2.6346	-4.9577	0.53141	7.0567	2.4521	-6.8630	0.35730	10.498
0.59000	1.2649	0.34299	-3.6877	-1.0169	2.6045	-5.0758	0.51311	7.3083	2.4110	-6.8956	0.34965	10.728
0.60000	1.2669	0.34466	-3.6758	-1.0202	2.5736	-5.1941	0.49550	7.5682	2.3697	-6.9242	0.34224	10.960
0.61000	1.2690	0.34361	-3.6930	-1.0154	2.5421	-5.3125	0.47852	7.8367	2.3283	-6.9490	0.33505	11.196
0.62000	1.2710	0.33960	-3.7427	-1.0020	2.5099	-5.4309	0.46215	8.1142	2.2867	-6.9699	0.32808	11.433
0.63000	1.2730	0.33236	-3.8303	-0.97903	2.4770	-5.5491	0.44637	8.4011	2.2450	-6.9869	0.32131	11.674
0.64000	1.2750	0.32161	-3.9644	-0.94592	2.4433	-5.6670	0.43114	8.6978	2.2032	-6.9999	0.31475	11.918
0.65000	1.2769	0.30707	-4.1582	-0.90183	2.4090	-5.7845	0.41645	9.0047	2.1613	-7.0090	0.30836	12.164
0.66000	1.2786	0.28844	-4.4329	-0.84594	2.3739	-5.9014	0.40226	9.3223	2.1194	-7.0141	0.30217	12.414
0.67000	1.2803	0.26542	-4.8237	-0.77742	2.3381	-6.0175	0.38855	9.6512	2.0775	-7.0153	0.29614	12.667
0.68000	1.2818	0.23769	-5.3928	-0.69537	2.3017	-6.1327	0.37531	9.9917	2.0356	-7.0125	0.29028	12.922
